REMIND index;scenario variable;dataset name;dataset reference product;dataset unit;share
trans - fepet;FE|Transport|Pass|Road|LDV|Four Wheelers|Small|Mini Car|Liquids|Fossil;petrol, burned in passenger car;heat;megajoule;regional
trans - fedie;FE|Transport|Pass|Road|LDV|Four Wheelers|Small|Mini Car|Liquids|Hydrogen;diesel, synthetic, burned in passenger car;heat;megajoule;regional
trans - feelt;FE|Transport|Pass|Road|LDV|Four Wheelers|Small|Subcompact Car|Electricity;electricity, used in passenger car;electricity, low voltage;megajoule;regional
trans - fegat;FE|Transport|Pass|Road|LDV|Four Wheelers|Small|Subcompact Car|Gases|Biomass;biomethane, burned in passenger car;heat;megajoule;regional
trans - fegat;FE|Transport|Pass|Road|LDV|Four Wheelers|Small|Subcompact Car|Gases|Fossil;compressed gas, burned in passenger car;heat;megajoule;regional
trans - fegat;FE|Transport|Pass|Road|LDV|Four Wheelers|Small|Subcompact Car|Gases|Hydrogen;compressed gas, synthetic, burned in passenger car;heat;megajoule;regional
trans - feh2t;FE|Transport|Pass|Road|LDV|Four Wheelers|Small|Subcompact Car|Hydrogen;hydrogen, used in a fuel cell in a passenger car;heat;megajoule;regional
trans - fedie;FE|Transport|Pass|Road|LDV|Four Wheelers|Small|Subcompact Car|Liquids|Biomass;biodiesel, burned in passenger car;heat;megajoule;regional
trans - fepet;FE|Transport|Pass|Road|LDV|Four Wheelers|Small|Subcompact Car|Liquids|Fossil;petrol, burned in passenger car;heat;megajoule;regional
trans - fedie;FE|Transport|Pass|Road|LDV|Four Wheelers|Small|Subcompact Car|Liquids|Hydrogen;diesel, synthetic, burned in passenger car;heat;megajoule;regional
trans - feelt;FE|Transport|Pass|Road|LDV|Two Wheelers|Moped|Electricity;electricity, used in battery electric motorcycle;electricity, low voltage;megajoule;regional
trans - fepet;FE|Transport|Pass|Road|LDV|Two Wheelers|Moped|Liquids|Biomass;bioethanol, burned in motorcycle;heat;megajoule;regional
trans - fepet;FE|Transport|Pass|Road|LDV|Two Wheelers|Moped|Liquids|Fossil;petrol, burned in motorcycle;heat;megajoule;regional
trans - fepet;FE|Transport|Pass|Road|LDV|Two Wheelers|Moped|Liquids|Hydrogen;petrol, synthetic, burned in motorcycle;heat;megajoule;regional
trans - feelt;FE|Transport|Pass|Road|LDV|Two Wheelers|Motorcycle(50-250cc)|Electricity;electricity, used in battery electric motorcycle;electricity, low voltage;megajoule;regional
trans - fepet;FE|Transport|Pass|Road|LDV|Two Wheelers|Motorcycle(50-250cc)|Liquids|Biomass;bioethanol, burned in motorcycle;heat;megajoule;regional
trans - fepet;FE|Transport|Pass|Road|LDV|Two Wheelers|Motorcycle(50-250cc)|Liquids|Fossil;petrol, burned in motorcycle;heat;megajoule;regional
trans - fepet;FE|Transport|Pass|Road|LDV|Two Wheelers|Motorcycle(50-250cc)|Liquids|Hydrogen;petrol, synthetic, burned in motorcycle;heat;megajoule;regional
trans - feelt;FE|Transport|Pass|Road|LDV|Two Wheelers|Motorcycle(>250cc)|Electricity;electricity, used in battery electric motorcycle;electricity, low voltage;megajoule;regional
trans - fepet;FE|Transport|Pass|Road|LDV|Two Wheelers|Motorcycle(>250cc)|Liquids|Biomass;bioethanol, burned in motorcycle;heat;megajoule;regional
trans - fepet;FE|Transport|Pass|Road|LDV|Two Wheelers|Motorcycle(>250cc)|Liquids|Fossil;petrol, burned in motorcycle;heat;megajoule;regional
trans - fepet;FE|Transport|Pass|Road|LDV|Two Wheelers|Motorcycle(>250cc)|Liquids|Hydrogen;petrol, synthetic, burned in motorcycle;heat;megajoule;regional
