activityName,geography,reference product,group,exchange name,compartment,subcompartment,exchange unitName,exchange amount - 3.10,exchange amount - 3.10.1
"coke production, wet quenching",CN,coal gas,ToEnvironment,Benzo(k)fluoranthene,air,non-urban air or from high stacks,kg,3.40017E-10,3.40017E-09
"coke production, wet quenching",CN,coal gas,ToEnvironment,Cobalt II,air,non-urban air or from high stacks,kg,0.000612354,6.12354E-10
"coke production, wet quenching",CN,coal gas,ToEnvironment,Phenanthrene,air,non-urban air or from high stacks,kg,9.18045E-07,9.18045E-08
"coke production, wet quenching",CN,coal gas,ToEnvironment,Polychlorinated biphenyls,air,non-urban air or from high stacks,kg,2.36393E-11,2.36393E-14
"coke production, wet quenching",CN,coal tar,ToEnvironment,Benzo(b)fluoranthene,air,non-urban air or from high stacks,kg,6.28855E-07,5.00755E-07
"coke production, wet quenching",CN,coal tar,ToEnvironment,Benzo(k)fluoranthene,air,non-urban air or from high stacks,kg,2.44555E-08,2.44555E-07
"coke production, wet quenching",CN,coal tar,ToEnvironment,Cobalt II,air,non-urban air or from high stacks,kg,0.044043125,4.40431E-08
"coke production, wet quenching",CN,coal tar,ToEnvironment,Phenanthrene,air,non-urban air or from high stacks,kg,6.60298E-05,6.60298E-06
"coke production, wet quenching",CN,coal tar,ToEnvironment,Polychlorinated biphenyls,air,non-urban air or from high stacks,kg,1.70024E-09,1.70024E-12
"coke production, wet quenching",CN,coke,ToEnvironment,Benzo(b)fluoranthene,air,non-urban air or from high stacks,kg,1.494E-08,1.18967E-08
"coke production, wet quenching",CN,coke,ToEnvironment,Benzo(k)fluoranthene,air,non-urban air or from high stacks,kg,5.81E-10,5.81E-09
"coke production, wet quenching",CN,coke,ToEnvironment,Cobalt II,air,non-urban air or from high stacks,kg,0.001046353,1.04635E-09
"coke production, wet quenching",CN,coke,ToEnvironment,Phenanthrene,air,non-urban air or from high stacks,kg,1.5687E-06,1.5687E-07
"coke production, wet quenching",CN,coke,ToEnvironment,Polychlorinated biphenyls,air,non-urban air or from high stacks,kg,4.03933E-11,4.03933E-14
"coke production, wet quenching",CN,sulfur,ToEnvironment,Benzo(b)fluoranthene,air,non-urban air or from high stacks,kg,1.04169E-07,8.29493E-08
"coke production, wet quenching",CN,sulfur,ToEnvironment,Benzo(k)fluoranthene,air,non-urban air or from high stacks,kg,4.05101E-09,4.05101E-08
"coke production, wet quenching",CN,sulfur,ToEnvironment,Cobalt II,air,non-urban air or from high stacks,kg,0.007295683,7.29568E-09
"coke production, wet quenching",CN,sulfur,ToEnvironment,Phenanthrene,air,non-urban air or from high stacks,kg,1.09377E-05,1.09377E-06
"coke production, wet quenching",CN,sulfur,ToEnvironment,Polychlorinated biphenyls,air,non-urban air or from high stacks,kg,2.81642E-10,2.81642E-13
