LCIA method,impact_category
IMPACT 2002+ (Endpoint) - human health - ozone layer depletion,IMPACT 2002+ (Endpoint) - human health - ozone layer depletion
IMPACT 2002+ (Endpoint) - human health - respiratory effects (inorganics),IMPACT 2002+ (Endpoint) - human health - respiratory effects (inorganics)
IMPACT 2002+ (Endpoint) - resources - mineral extraction,IMPACT 2002+ (Endpoint) - resources - mineral extraction
RELICS - metals extraction - Aluminium,RELICS - metals extraction - Aluminium
RELICS - metals extraction - Antimony,RELICS - metals extraction - Antimony
RELICS - metals extraction - Beryllium,RELICS - metals extraction - Beryllium
RELICS - metals extraction - Boron,RELICS - metals extraction - Boron
RELICS - metals extraction - Cadmium,RELICS - metals extraction - Cadmium
RELICS - metals extraction - Cerium,RELICS - metals extraction - Cerium
RELICS - metals extraction - Chromium,RELICS - metals extraction - Chromium
RELICS - metals extraction - Cobalt,RELICS - metals extraction - Cobalt
RELICS - metals extraction - Copper,RELICS - metals extraction - Copper
RELICS - metals extraction - Dysprosium,RELICS - metals extraction - Dysprosium
RELICS - metals extraction - Erbium,RELICS - metals extraction - Erbium
RELICS - metals extraction - Europium,RELICS - metals extraction - Europium
RELICS - metals extraction - Gadolinium,RELICS - metals extraction - Gadolinium
RELICS - metals extraction - Gallium,RELICS - metals extraction - Gallium
RELICS - metals extraction - Germanium,RELICS - metals extraction - Germanium
RELICS - metals extraction - Gold,RELICS - metals extraction - Gold
RELICS - metals extraction - Graphite,RELICS - metals extraction - Graphite
RELICS - metals extraction - Hafnium,RELICS - metals extraction - Hafnium
RELICS - metals extraction - Indium,RELICS - metals extraction - Indium
RELICS - metals extraction - Iridium,RELICS - metals extraction - Iridium
RELICS - metals extraction - Lanthanum,RELICS - metals extraction - Lanthanum
RELICS - metals extraction - Lead,RELICS - metals extraction - Lead
RELICS - metals extraction - Lithium,RELICS - metals extraction - Lithium
RELICS - metals extraction - Magnesium,RELICS - metals extraction - Magnesium
RELICS - metals extraction - Manganese,RELICS - metals extraction - Manganese
RELICS - metals extraction - Molybdenum,RELICS - metals extraction - Molybdenum
RELICS - metals extraction - Neodymium,RELICS - metals extraction - Neodymium
RELICS - metals extraction - Nickel,RELICS - metals extraction - Nickel
RELICS - metals extraction - Niobium,RELICS - metals extraction - Niobium
RELICS - metals extraction - Palladium,RELICS - metals extraction - Palladium
RELICS - metals extraction - Platinum,RELICS - metals extraction - Platinum
RELICS - metals extraction - Potassium,RELICS - metals extraction - Potassium
RELICS - metals extraction - Praseodymium,RELICS - metals extraction - Praseodymium
RELICS - metals extraction - Rhenium,RELICS - metals extraction - Rhenium
RELICS - metals extraction - Rhodium,RELICS - metals extraction - Rhodium
RELICS - metals extraction - Ruthenium,RELICS - metals extraction - Ruthenium
RELICS - metals extraction - Samarium,RELICS - metals extraction - Samarium
RELICS - metals extraction - Scandium,RELICS - metals extraction - Scandium
RELICS - metals extraction - Selenium,RELICS - metals extraction - Selenium
RELICS - metals extraction - Silicon,RELICS - metals extraction - Silicon
RELICS - metals extraction - Silver,RELICS - metals extraction - Silver
RELICS - metals extraction - Sulfur,RELICS - metals extraction - Sulfur
RELICS - metals extraction - Strontium,RELICS - metals extraction - Strontium
RELICS - metals extraction - Tantalum,RELICS - metals extraction - Tantalum
RELICS - metals extraction - Tellurium,RELICS - metals extraction - Tellurium
RELICS - metals extraction - Terbium,RELICS - metals extraction - Terbium
RELICS - metals extraction - Tin,RELICS - metals extraction - Tin
RELICS - metals extraction - Titanium,RELICS - metals extraction - Titanium
RELICS - metals extraction - Tungsten,RELICS - metals extraction - Tungsten
RELICS - metals extraction - Vanadium,RELICS - metals extraction - Vanadium
RELICS - metals extraction - Ytterbium,RELICS - metals extraction - Ytterbium
RELICS - metals extraction - Yttrium,RELICS - metals extraction - Yttrium
RELICS - metals extraction - Zinc,RELICS - metals extraction - Zinc
RELICS - metals extraction - Zirconium,RELICS - metals extraction - Zirconium
"CML v4.8 2016 no LT - acidification no LT - acidification (incl. fate, average Europe total, A&B) no LT",acidification
CML v4.8 2016 no LT - climate change no LT - global warming potential (GWP100) no LT,climate change
CML v4.8 2016 no LT - ecotoxicity: freshwater no LT - freshwater aquatic ecotoxicity (FAETP inf) no LT,ecotoxicity
CML v4.8 2016 no LT - ecotoxicity: marine no LT - marine aquatic ecotoxicity (MAETP inf) no LT,ecotoxicity
CML v4.8 2016 no LT - ecotoxicity: terrestrial no LT - terrestrial ecotoxicity (TETP inf) no LT,ecotoxicity
CML v4.8 2016 no LT - energy resources: non-renewable no LT - abiotic depletion potential (ADP): fossil fuels no LT,fossil resources
CML v4.8 2016 no LT - eutrophication no LT - eutrophication (fate not incl.) no LT,eutrophication
CML v4.8 2016 no LT - human toxicity no LT - human toxicity (HTP inf) no LT,human toxicity
CML v4.8 2016 no LT - material resources: metals/minerals no LT - abiotic depletion potential (ADP): elements (ultimate reserves) no LT,metal/mineral resources
CML v4.8 2016 no LT - ozone depletion no LT - ozone layer depletion (ODP steady state) no LT,ozone depletion
CML v4.8 2016 no LT - photochemical oxidant formation no LT - photochemical oxidation (high NOx) no LT,photochemical oxidant formation
CML v4.8 2016 - climate change - global warming potential (GWP100),climate change
CML v4.8 2016 - ecotoxicity: freshwater - freshwater aquatic ecotoxicity (FAETP inf),ecotoxicity
CML v4.8 2016 - ecotoxicity: marine - marine aquatic ecotoxicity (MAETP inf),ecotoxicity
CML v4.8 2016 - ecotoxicity: terrestrial - terrestrial ecotoxicity (TETP inf),ecotoxicity
CML v4.8 2016 - human toxicity - human toxicity (HTP inf),human toxicity
Crustal Scarcity Indicator 2020 - material resources: metals/minerals - crustal scarcity potential (CSP),metal/mineral resources
Cumulative Energy Demand (CED) - energy resources: non-renewable - energy content (HHV),fossil resources
"Cumulative Energy Demand (CED) - energy resources: non-renewable, biomass - energy content (HHV)",fossil resources
"Cumulative Energy Demand (CED) - energy resources: non-renewable, fossil - energy content (HHV)",fossil resources
"Cumulative Energy Demand (CED) - energy resources: non-renewable, nuclear - energy content (HHV)",fossil resources
Cumulative Energy Demand (CED) - energy resources: renewable - energy content (HHV),fossil resources
"Cumulative Energy Demand (CED) - energy resources: renewable, biomass - energy content (HHV)",fossil resources
"Cumulative Energy Demand (CED) - energy resources: renewable, geothermal - energy content (HHV)",fossil resources
"Cumulative Energy Demand (CED) - energy resources: renewable, geothermal, solar, wind - energy content (HHV)",fossil resources
"Cumulative Energy Demand (CED) - energy resources: renewable, solar - energy content (HHV)",fossil resources
"Cumulative Energy Demand (CED) - energy resources: renewable, water - energy content (HHV)",fossil resources
"Cumulative Energy Demand (CED) - energy resources: renewable, wind - energy content (HHV)",fossil resources
Cumulative Energy Demand (CED) - total - energy content (HHV),Cumulative Energy Demand (CED) - total - energy content (HHV)
Cumulative Exergy Demand (CExD) - energy resources: non-renewable - exergy content,fossil resources
"Cumulative Exergy Demand (CExD) - energy resources: non-renewable, biomass - exergy content",fossil resources
"Cumulative Exergy Demand (CExD) - energy resources: non-renewable, fossil - exergy content",fossil resources
"Cumulative Exergy Demand (CExD) - energy resources: non-renewable, nuclear - exergy content",fossil resources
Cumulative Exergy Demand (CExD) - energy resources: renewable - exergy content,fossil resources
"Cumulative Exergy Demand (CExD) - energy resources: renewable, biomass - exergy content",fossil resources
"Cumulative Exergy Demand (CExD) - energy resources: renewable, solar - exergy content",fossil resources
"Cumulative Exergy Demand (CExD) - energy resources: renewable, water - exergy content",fossil resources
"Cumulative Exergy Demand (CExD) - energy resources: renewable, wind - exergy content",fossil resources
Cumulative Exergy Demand (CExD) - material resources - exergy content,Cumulative Exergy Demand (CExD) - material resources - exergy content
Cumulative Exergy Demand (CExD) - material resources: metals - exergy content,Cumulative Exergy Demand (CExD) - material resources: metals - exergy content
Cumulative Exergy Demand (CExD) - material resources: minerals - exergy content,Cumulative Exergy Demand (CExD) - material resources: minerals - exergy content
Cumulative Exergy Demand (CExD) - material resources: water - exergy content,Cumulative Exergy Demand (CExD) - material resources: water - exergy content
Cumulative Exergy Demand (CExD) - total - exergy content,Cumulative Exergy Demand (CExD) - total - exergy content
Ecological Footprint - CO2 - global hectares,Ecological Footprint - CO2 - global hectares
Ecological Footprint - land occupation - global hectares,Ecological Footprint - land occupation - global hectares
Ecological Footprint - nuclear - global hectares,Ecological Footprint - nuclear - global hectares
Ecological Footprint - total - global hectares,Ecological Footprint - total - global hectares
Ecological Scarcity 2021 no LT - climate change no LT - global warming potential (GWP100) no LT,climate change
Ecological Scarcity 2021 no LT - emissions to air no LT - air pollutants and PM no LT,Ecological Scarcity 2021 no LT - emissions to air no LT - air pollutants and PM no LT
Ecological Scarcity 2021 no LT - emissions to air no LT - carcinogenic substances into air no LT,Ecological Scarcity 2021 no LT - emissions to air no LT - carcinogenic substances into air no LT
Ecological Scarcity 2021 no LT - emissions to air no LT - heavy metals into air no LT,Ecological Scarcity 2021 no LT - emissions to air no LT - heavy metals into air no LT
Ecological Scarcity 2021 no LT - emissions to air no LT - radioactive substances into air no LT,Ecological Scarcity 2021 no LT - emissions to air no LT - radioactive substances into air no LT
Ecological Scarcity 2021 no LT - emissions to soil no LT - heavy metals into soil no LT,Ecological Scarcity 2021 no LT - emissions to soil no LT - heavy metals into soil no LT
Ecological Scarcity 2021 no LT - emissions to soil no LT - pesticides into soil no LT,Ecological Scarcity 2021 no LT - emissions to soil no LT - pesticides into soil no LT
Ecological Scarcity 2021 no LT - emissions to water no LT - heavy metals into water no LT,Ecological Scarcity 2021 no LT - emissions to water no LT - heavy metals into water no LT
Ecological Scarcity 2021 no LT - emissions to water no LT - POP into water no LT,Ecological Scarcity 2021 no LT - emissions to water no LT - POP into water no LT
Ecological Scarcity 2021 no LT - emissions to water no LT - radioactive substances into water no LT,Ecological Scarcity 2021 no LT - emissions to water no LT - radioactive substances into water no LT
Ecological Scarcity 2021 no LT - emissions to water no LT - water pollutants no LT,Ecological Scarcity 2021 no LT - emissions to water no LT - water pollutants no LT
Ecological Scarcity 2021 no LT - energy resources no LT - energy resources no LT,fossil resources
Ecological Scarcity 2021 no LT - land use no LT - land use no LT,land use
Ecological Scarcity 2021 no LT - mineral resources no LT - mineral resources no LT,Ecological Scarcity 2021 no LT - mineral resources no LT - mineral resources no LT
Ecological Scarcity 2021 no LT - natural resources no LT - biotic resources no LT,Ecological Scarcity 2021 no LT - natural resources no LT - biotic resources no LT
Ecological Scarcity 2021 no LT - ozone depletion no LT - ozone depletion no LT,ozone depletion
Ecological Scarcity 2021 no LT - total no LT - UBP no LT,Ecological Scarcity 2021 no LT - total no LT - UBP no LT
Ecological Scarcity 2021 no LT - waste disposal no LT - radioactive waste to deposit no LT,Ecological Scarcity 2021 no LT - waste disposal no LT - radioactive waste to deposit no LT
"Ecological Scarcity 2021 no LT - waste disposal no LT - waste, non radioactive no LT","Ecological Scarcity 2021 no LT - waste disposal no LT - waste, non radioactive no LT"
"Ecological Scarcity 2021 no LT - water use no LT - water resources, evaporated no LT",water use
Ecological Scarcity 2021 - climate change - global warming potential (GWP100),climate change
Ecological Scarcity 2021 - emissions to air - air pollutants and PM,Ecological Scarcity 2021 - emissions to air - air pollutants and PM
Ecological Scarcity 2021 - emissions to air - carcinogenic substances into air,Ecological Scarcity 2021 - emissions to air - carcinogenic substances into air
Ecological Scarcity 2021 - emissions to air - heavy metals into air,Ecological Scarcity 2021 - emissions to air - heavy metals into air
Ecological Scarcity 2021 - emissions to air - radioactive substances into air,Ecological Scarcity 2021 - emissions to air - radioactive substances into air
Ecological Scarcity 2021 - emissions to soil - heavy metals into soil,Ecological Scarcity 2021 - emissions to soil - heavy metals into soil
Ecological Scarcity 2021 - emissions to soil - pesticides into soil,Ecological Scarcity 2021 - emissions to soil - pesticides into soil
Ecological Scarcity 2021 - emissions to water - heavy metals into water,Ecological Scarcity 2021 - emissions to water - heavy metals into water
Ecological Scarcity 2021 - emissions to water - POP into water,Ecological Scarcity 2021 - emissions to water - POP into water
Ecological Scarcity 2021 - emissions to water - radioactive substances into water,Ecological Scarcity 2021 - emissions to water - radioactive substances into water
Ecological Scarcity 2021 - emissions to water - water pollutants,Ecological Scarcity 2021 - emissions to water - water pollutants
Ecological Scarcity 2021 - energy resources - energy resources,fossil resources
Ecological Scarcity 2021 - land use - land use,land use
Ecological Scarcity 2021 - mineral resources - mineral resources,Ecological Scarcity 2021 - mineral resources - mineral resources
Ecological Scarcity 2021 - natural resources - biotic resources,Ecological Scarcity 2021 - natural resources - biotic resources
Ecological Scarcity 2021 - ozone depletion - ozone depletion,ozone depletion
Ecological Scarcity 2021 - total - UBP,Ecological Scarcity 2021 - total - UBP
Ecological Scarcity 2021 - waste disposal - radioactive waste to deposit,Ecological Scarcity 2021 - waste disposal - radioactive waste to deposit
"Ecological Scarcity 2021 - waste disposal - waste, non radioactive","Ecological Scarcity 2021 - waste disposal - waste, non radioactive"
"Ecological Scarcity 2021 - water use - water resources, evaporated",water use
Ecosystem Damage Potential - land occupation - ecosystem damage potential,Ecosystem Damage Potential - land occupation - ecosystem damage potential
Ecosystem Damage Potential - land transformation - ecosystem damage potential,Ecosystem Damage Potential - land transformation - ecosystem damage potential
Ecosystem Damage Potential - total - ecosystem damage potential,Ecosystem Damage Potential - total - ecosystem damage potential
EF v3.0 no LT - acidification no LT - accumulated exceedance (AE) no LT,acidification
EF v3.0 no LT - climate change no LT - global warming potential (GWP100) no LT,climate change
EF v3.0 no LT - climate change: biogenic no LT - global warming potential (GWP100) no LT,climate change
EF v3.0 no LT - climate change: fossil no LT - global warming potential (GWP100) no LT,climate change
EF v3.0 no LT - climate change: land use and land use change no LT - global warming potential (GWP100) no LT,
EF v3.0 no LT - ecotoxicity: freshwater no LT - comparative toxic unit for ecosystems (CTUe) no LT,ecotoxicity
"EF v3.0 no LT - ecotoxicity: freshwater, inorganics no LT - comparative toxic unit for ecosystems (CTUe) no LT",ecotoxicity
"EF v3.0 no LT - ecotoxicity: freshwater, metals no LT - comparative toxic unit for ecosystems (CTUe) no LT",ecotoxicity
"EF v3.0 no LT - ecotoxicity: freshwater, organics no LT - comparative toxic unit for ecosystems (CTUe) no LT",ecotoxicity
EF v3.0 no LT - energy resources: non-renewable no LT - abiotic depletion potential (ADP): fossil fuels no LT,fossil resources
EF v3.0 no LT - eutrophication: freshwater no LT - fraction of nutrients reaching freshwater end compartment (P) no LT,eutrophication
EF v3.0 no LT - eutrophication: marine no LT - fraction of nutrients reaching marine end compartment (N) no LT,eutrophication
EF v3.0 no LT - eutrophication: terrestrial no LT - accumulated exceedance (AE) no LT,eutrophication
EF v3.0 no LT - human toxicity: carcinogenic no LT - comparative toxic unit for human (CTUh) no LT,human toxicity
"EF v3.0 no LT - human toxicity: carcinogenic, inorganics no LT - comparative toxic unit for human (CTUh) no LT",human toxicity
"EF v3.0 no LT - human toxicity: carcinogenic, metals no LT - comparative toxic unit for human (CTUh) no LT",human toxicity
"EF v3.0 no LT - human toxicity: carcinogenic, organics no LT - comparative toxic unit for human (CTUh) no LT",human toxicity
EF v3.0 no LT - human toxicity: non-carcinogenic no LT - comparative toxic unit for human (CTUh) no LT,human toxicity
"EF v3.0 no LT - human toxicity: non-carcinogenic, inorganics no LT - comparative toxic unit for human (CTUh) no LT",human toxicity
"EF v3.0 no LT - human toxicity: non-carcinogenic, metals no LT - comparative toxic unit for human (CTUh) no LT",human toxicity
"EF v3.0 no LT - human toxicity: non-carcinogenic, organics no LT - comparative toxic unit for human (CTUh) no LT",human toxicity
EF v3.0 no LT - ionising radiation: human health no LT - human exposure efficiency relative to u235 no LT,ionizing radiation
EF v3.0 no LT - land use no LT - soil quality index no LT,land use
EF v3.0 no LT - material resources: metals/minerals no LT - abiotic depletion potential (ADP): elements (ultimate reserves) no LT,metal/mineral resources
EF v3.0 no LT - ozone depletion no LT - ozone depletion potential (ODP) no LT,ozone depletion
EF v3.0 no LT - particulate matter formation no LT - impact on human health no LT,particulate matter formation
EF v3.0 no LT - photochemical oxidant formation: human health no LT - tropospheric ozone concentration increase no LT,photochemical oxidant formation
EF v3.0 no LT - water use no LT - user deprivation potential (deprivation-weighted water consumption) no LT,water use
EF v3.0 - acidification - accumulated exceedance (AE),acidification
EF v3.0 - climate change - global warming potential (GWP100),climate change
EF v3.0 - climate change: biogenic - global warming potential (GWP100),climate change
EF v3.0 - climate change: fossil - global warming potential (GWP100),climate change
EF v3.0 - climate change: land use and land use change - global warming potential (GWP100),
EF v3.0 - ecotoxicity: freshwater - comparative toxic unit for ecosystems (CTUe),ecotoxicity
"EF v3.0 - ecotoxicity: freshwater, inorganics - comparative toxic unit for ecosystems (CTUe)",ecotoxicity
"EF v3.0 - ecotoxicity: freshwater, metals - comparative toxic unit for ecosystems (CTUe)",ecotoxicity
"EF v3.0 - ecotoxicity: freshwater, organics - comparative toxic unit for ecosystems (CTUe)",ecotoxicity
EF v3.0 - energy resources: non-renewable - abiotic depletion potential (ADP): fossil fuels,fossil resources
EF v3.0 - eutrophication: freshwater - fraction of nutrients reaching freshwater end compartment (P),eutrophication
EF v3.0 - eutrophication: marine - fraction of nutrients reaching marine end compartment (N),eutrophication
EF v3.0 - eutrophication: terrestrial - accumulated exceedance (AE),eutrophication
EF v3.0 - human toxicity: carcinogenic - comparative toxic unit for human (CTUh),human toxicity
"EF v3.0 - human toxicity: carcinogenic, inorganics - comparative toxic unit for human (CTUh)",human toxicity
"EF v3.0 - human toxicity: carcinogenic, metals - comparative toxic unit for human (CTUh)",human toxicity
"EF v3.0 - human toxicity: carcinogenic, organics - comparative toxic unit for human (CTUh)",human toxicity
EF v3.0 - human toxicity: non-carcinogenic - comparative toxic unit for human (CTUh),human toxicity
"EF v3.0 - human toxicity: non-carcinogenic, inorganics - comparative toxic unit for human (CTUh)",human toxicity
"EF v3.0 - human toxicity: non-carcinogenic, metals - comparative toxic unit for human (CTUh)",human toxicity
"EF v3.0 - human toxicity: non-carcinogenic, organics - comparative toxic unit for human (CTUh)",human toxicity
EF v3.0 - ionising radiation: human health - human exposure efficiency relative to u235,ionizing radiation
EF v3.0 - land use - soil quality index,land use
EF v3.0 - material resources: metals/minerals - abiotic depletion potential (ADP): elements (ultimate reserves),metal/mineral resources
EF v3.0 - ozone depletion - ozone depletion potential (ODP),ozone depletion
EF v3.0 - particulate matter formation - impact on human health,particulate matter formation
EF v3.0 - photochemical oxidant formation: human health - tropospheric ozone concentration increase,photochemical oxidant formation
EF v3.0 - water use - user deprivation potential (deprivation-weighted water consumption),water use
EF v3.1 no LT - acidification no LT - accumulated exceedance (AE) no LT,acidification
EF v3.1 no LT - climate change no LT - global warming potential (GWP100) no LT,climate change
EF v3.1 no LT - climate change: biogenic no LT - global warming potential (GWP100) no LT,climate change
EF v3.1 no LT - climate change: fossil no LT - global warming potential (GWP100) no LT,climate change
EF v3.1 no LT - climate change: land use and land use change no LT - global warming potential (GWP100) no LT,
EF v3.1 no LT - ecotoxicity: freshwater no LT - comparative toxic unit for ecosystems (CTUe) no LT,ecotoxicity
"EF v3.1 no LT - ecotoxicity: freshwater, inorganics no LT - comparative toxic unit for ecosystems (CTUe) no LT",ecotoxicity
"EF v3.1 no LT - ecotoxicity: freshwater, organics no LT - comparative toxic unit for ecosystems (CTUe) no LT",ecotoxicity
EF v3.1 no LT - energy resources: non-renewable no LT - abiotic depletion potential (ADP): fossil fuels no LT,fossil resources
EF v3.1 no LT - eutrophication: freshwater no LT - fraction of nutrients reaching freshwater end compartment (P) no LT,eutrophication
EF v3.1 no LT - eutrophication: marine no LT - fraction of nutrients reaching marine end compartment (N) no LT,eutrophication
EF v3.1 no LT - eutrophication: terrestrial no LT - accumulated exceedance (AE) no LT,eutrophication
EF v3.1 no LT - human toxicity: carcinogenic no LT - comparative toxic unit for human (CTUh) no LT,human toxicity
"EF v3.1 no LT - human toxicity: carcinogenic, inorganics no LT - comparative toxic unit for human (CTUh) no LT",human toxicity
"EF v3.1 no LT - human toxicity: carcinogenic, organics no LT - comparative toxic unit for human (CTUh) no LT",human toxicity
EF v3.1 no LT - human toxicity: non-carcinogenic no LT - comparative toxic unit for human (CTUh) no LT,human toxicity
"EF v3.1 no LT - human toxicity: non-carcinogenic, inorganics no LT - comparative toxic unit for human (CTUh) no LT",human toxicity
"EF v3.1 no LT - human toxicity: non-carcinogenic, organics no LT - comparative toxic unit for human (CTUh) no LT",human toxicity
EF v3.1 no LT - ionising radiation: human health no LT - human exposure efficiency relative to u235 no LT,ionizing radiation
EF v3.1 no LT - land use no LT - soil quality index no LT,land use
EF v3.1 no LT - material resources: metals/minerals no LT - abiotic depletion potential (ADP): elements (ultimate reserves) no LT,metal/mineral resources
EF v3.1 no LT - ozone depletion no LT - ozone depletion potential (ODP) no LT,ozone depletion
EF v3.1 no LT - particulate matter formation no LT - impact on human health no LT,particulate matter formation
EF v3.1 no LT - photochemical oxidant formation: human health no LT - tropospheric ozone concentration increase no LT,photochemical oxidant formation
EF v3.1 no LT - water use no LT - user deprivation potential (deprivation-weighted water consumption) no LT,water use
EF v3.1 - climate change - global warming potential (GWP100),climate change
EF v3.1 - climate change: biogenic - global warming potential (GWP100),climate change
EF v3.1 - climate change: fossil - global warming potential (GWP100),climate change
EF v3.1 - climate change: land use and land use change - global warming potential (GWP100),
"EF v3.1 - ecotoxicity: freshwater, inorganics - comparative toxic unit for ecosystems (CTUe)",ecotoxicity
"EF v3.1 - ecotoxicity: freshwater, organics - comparative toxic unit for ecosystems (CTUe)",ecotoxicity
