LCIA method,impact_category
"EF v3.1 - human toxicity: carcinogenic, inorganics - comparative toxic unit for human (CTUh)",human toxicity
"EF v3.1 - human toxicity: carcinogenic, organics - comparative toxic unit for human (CTUh)",human toxicity
"EF v3.1 - human toxicity: non-carcinogenic, inorganics - comparative toxic unit for human (CTUh)",human toxicity
"EF v3.1 - human toxicity: non-carcinogenic, organics - comparative toxic unit for human (CTUh)",human toxicity
EPS 2020d no LT - emissions to air no LT - monetary impact value no LT,EPS 2020d no LT - emissions to air no LT - monetary impact value no LT
EPS 2020d no LT - emissions to soil no LT - monetary impact value no LT,EPS 2020d no LT - emissions to soil no LT - monetary impact value no LT
EPS 2020d no LT - emissions to water no LT - monetary impact value no LT,EPS 2020d no LT - emissions to water no LT - monetary impact value no LT
"EPS 2020d no LT - energy resources: non-renewable, fossil no LT - monetary impact value no LT",fossil resources
EPS 2020d no LT - land use no LT - monetary impact value no LT,land use
EPS 2020d no LT - material resources: metals no LT - monetary impact value no LT,EPS 2020d no LT - material resources: metals no LT - monetary impact value no LT
EPS 2020d no LT - total no LT - monetary impact value no LT,EPS 2020d no LT - total no LT - monetary impact value no LT
EPS 2020d - emissions to air - monetary impact value,EPS 2020d - emissions to air - monetary impact value
EPS 2020d - emissions to soil - monetary impact value,EPS 2020d - emissions to soil - monetary impact value
EPS 2020d - emissions to water - monetary impact value,EPS 2020d - emissions to water - monetary impact value
"EPS 2020d - energy resources: non-renewable, fossil - monetary impact value",fossil resources
EPS 2020d - land use - monetary impact value,land use
EPS 2020d - material resources: metals - monetary impact value,EPS 2020d - material resources: metals - monetary impact value
EPS 2020d - total - monetary impact value,EPS 2020d - total - monetary impact value
"IMPACT World+ v2.0.1, footprint version - climate change - carbon footprint",climate change
"IMPACT World+ v2.0.1, footprint version - ecosystem quality - remaining ecosystem quality damage","IMPACT World+ v2.0.1, footprint version - ecosystem quality - remaining ecosystem quality damage"
"IMPACT World+ v2.0.1, footprint version - energy resources: non-renewable - fossil and nuclear energy use",fossil resources
"IMPACT World+ v2.0.1, footprint version - human health - remaining human health damage","IMPACT World+ v2.0.1, footprint version - human health - remaining human health damage"
"IMPACT World+ v2.0.1, footprint version - water use - water scarcity footprint",water use
Inventory results and indicators - resources - total surface occupation,Inventory results and indicators - resources - total surface occupation
Inventory results and indicators - resources - land occupation,Inventory results and indicators - resources - land occupation
Inventory results and indicators - resources - land occupation by flooding,Inventory results and indicators - resources - land occupation by flooding
Inventory results and indicators - resources - seabed occupation,Inventory results and indicators - resources - seabed occupation
Inventory results and indicators - resources - total water extraction,Inventory results and indicators - resources - total water extraction
Inventory results and indicators - resources - total freshwater extraction,Inventory results and indicators - resources - total freshwater extraction
"Inventory results and indicators - resources - freshwater extraction, surface water","Inventory results and indicators - resources - freshwater extraction, surface water"
"Inventory results and indicators - resources - freshwater extraction, groundwater","Inventory results and indicators - resources - freshwater extraction, groundwater"
"Inventory results and indicators - resources - water extraction, saltwater","Inventory results and indicators - resources - water extraction, saltwater"
"Inventory results and indicators - resources - water extraction, undefined","Inventory results and indicators - resources - water extraction, undefined"
Inventory results and indicators - emissions to air - total particulate matter,Inventory results and indicators - emissions to air - total particulate matter
"Inventory results and indicators - emissions to air - particulate matter, < 2.5 um","Inventory results and indicators - emissions to air - particulate matter, < 2.5 um"
"Inventory results and indicators - emissions to air - particulate matter, >2.5 um and <10","Inventory results and indicators - emissions to air - particulate matter, >2.5 um and <10"
Inventory results and indicators - emissions to air - particulate matter >10 um,Inventory results and indicators - emissions to air - particulate matter >10 um
"Inventory results and indicators - emissions to air - carbon dioxide, fossil and land use",land use
Inventory results and indicators - emissions to air - total carbon monoxide,Inventory results and indicators - emissions to air - total carbon monoxide
Inventory results and indicators - emissions to air - total methane,Inventory results and indicators - emissions to air - total methane
"Inventory results and indicators - emissions to air - carbon, non-fossil, fixed","Inventory results and indicators - emissions to air - carbon, non-fossil, fixed"
Inventory results and indicators - emissions to air - NMVOCs,Inventory results and indicators - emissions to air - NMVOCs
Inventory results and indicators - emissions to air - N2O,Inventory results and indicators - emissions to air - N2O
Inventory results and indicators - emissions to air - NOx,Inventory results and indicators - emissions to air - NOx
Inventory results and indicators - emissions to air - SOx,Inventory results and indicators - emissions to air - SOx
Inventory results and indicators - emissions to air - ammonia,Inventory results and indicators - emissions to air - ammonia
Inventory results and indicators - emissions to air - lead,Inventory results and indicators - emissions to air - lead
Inventory results and indicators - emissions to air - photochemical oxidants (including ozone),Inventory results and indicators - emissions to air - photochemical oxidants (including ozone)
Inventory results and indicators - emissions to air - HAPs,Inventory results and indicators - emissions to air - HAPs
Inventory results and indicators - emissions to air - total radioactive emissions,Inventory results and indicators - emissions to air - total radioactive emissions
Inventory results and indicators - emissions to water - total radioactive emissions,Inventory results and indicators - emissions to water - total radioactive emissions
Inventory results and indicators - waste disposal - total area for dump sites,Inventory results and indicators - waste disposal - total area for dump sites
Inventory results and indicators - waste disposal - total volume of underground deposits,Inventory results and indicators - waste disposal - total volume of underground deposits
Inventory results and indicators - waste disposal - total volume of radioactive waste,Inventory results and indicators - waste disposal - total volume of radioactive waste
Inventory results and indicators - waste disposal - total mass of waste,Inventory results and indicators - waste disposal - total mass of waste
Inventory results and indicators - waste disposal - total mass for dump sites,Inventory results and indicators - waste disposal - total mass for dump sites
Inventory results and indicators - waste disposal - total mass for underground deposits,Inventory results and indicators - waste disposal - total mass for underground deposits
Inventory results and indicators - waste disposal - total mass of radioactive waste,Inventory results and indicators - waste disposal - total mass of radioactive waste
IPCC 2013 no LT - climate change no LT - global temperature change potential (GTP100) no LT,climate change
IPCC 2013 no LT - climate change no LT - global temperature change potential (GTP20) no LT,climate change
IPCC 2013 no LT - climate change no LT - global warming potential (GWP100) no LT,climate change
IPCC 2013 no LT - climate change no LT - global warming potential (GWP20) no LT,climate change
IPCC 2013 - climate change - global temperature change potential (GTP100),climate change
IPCC 2013 - climate change - global temperature change potential (GTP20),climate change
IPCC 2013 - climate change - global warming potential (GWP100),climate change
IPCC 2013 - climate change - global warming potential (GWP20),climate change
IPCC 2021 no LT - climate change no LT - global temperature change potential (GTP100) no LT,climate change
IPCC 2021 no LT - climate change no LT - global temperature change potential (GTP50) no LT,climate change
IPCC 2021 no LT - climate change no LT - global warming potential (GWP100) no LT,climate change
IPCC 2021 no LT - climate change no LT - global warming potential (GWP20) no LT,climate change
IPCC 2021 no LT - climate change no LT - global warming potential (GWP500) no LT,climate change
IPCC 2021 no LT - climate change: biogenic no LT - global temperature change potential (GTP100) no LT,climate change
IPCC 2021 no LT - climate change: biogenic no LT - global temperature change potential (GTP50) no LT,climate change
IPCC 2021 no LT - climate change: biogenic no LT - global warming potential (GWP100) no LT,climate change
IPCC 2021 no LT - climate change: biogenic no LT - global warming potential (GWP20) no LT,climate change
IPCC 2021 no LT - climate change: biogenic no LT - global warming potential (GWP500) no LT,climate change
"IPCC 2021 no LT - climate change: biogenic, including SLCFs no LT - global temperature change potential (GTP100) no LT",climate change
"IPCC 2021 no LT - climate change: biogenic, including SLCFs no LT - global warming potential (GWP100) no LT",climate change
"IPCC 2021 no LT - climate change: biogenic, including SLCFs no LT - global warming potential (GWP20) no LT",climate change
IPCC 2021 no LT - climate change: fossil no LT - global temperature change potential (GTP100) no LT,climate change
IPCC 2021 no LT - climate change: fossil no LT - global temperature change potential (GTP50) no LT,climate change
IPCC 2021 no LT - climate change: fossil no LT - global warming potential (GWP100) no LT,climate change
IPCC 2021 no LT - climate change: fossil no LT - global warming potential (GWP20) no LT,climate change
IPCC 2021 no LT - climate change: fossil no LT - global warming potential (GWP500) no LT,climate change
"IPCC 2021 no LT - climate change: fossil, including SLCFs no LT - global temperature change potential (GTP100) no LT",climate change
"IPCC 2021 no LT - climate change: fossil, including SLCFs no LT - global warming potential (GWP100) no LT",climate change
"IPCC 2021 no LT - climate change: fossil, including SLCFs no LT - global warming potential (GWP20) no LT",climate change
IPCC 2021 no LT - climate change: including SLCFs no LT - global temperature change potential (GTP100) no LT,climate change
IPCC 2021 no LT - climate change: including SLCFs no LT - global warming potential (GWP100) no LT,climate change
IPCC 2021 no LT - climate change: including SLCFs no LT - global warming potential (GWP20) no LT,climate change
IPCC 2021 no LT - climate change: land use no LT - global temperature change potential (GTP100) no LT,
IPCC 2021 no LT - climate change: land use no LT - global temperature change potential (GTP50) no LT,
IPCC 2021 no LT - climate change: land use no LT - global warming potential (GWP100) no LT,
IPCC 2021 no LT - climate change: land use no LT - global warming potential (GWP20) no LT,
IPCC 2021 no LT - climate change: land use no LT - global warming potential (GWP500) no LT,
"IPCC 2021 no LT - climate change: land use, including SLCFs no LT - global temperature change potential (GTP100) no LT",
"IPCC 2021 no LT - climate change: land use, including SLCFs no LT - global warming potential (GWP100) no LT",
"IPCC 2021 no LT - climate change: land use, including SLCFs no LT - global warming potential (GWP20) no LT",
IPCC 2021 - climate change - global temperature change potential (GTP100),climate change
IPCC 2021 - climate change - global temperature change potential (GTP50),climate change
IPCC 2021 - climate change - global warming potential (GWP100),climate change
IPCC 2021 - climate change - global warming potential (GWP20),climate change
IPCC 2021 - climate change - global warming potential (GWP500),climate change
IPCC 2021 - climate change: biogenic - global temperature change potential (GTP100),climate change
IPCC 2021 - climate change: biogenic - global temperature change potential (GTP50),climate change
IPCC 2021 - climate change: biogenic - global warming potential (GWP100),climate change
IPCC 2021 - climate change: biogenic - global warming potential (GWP20),climate change
IPCC 2021 - climate change: biogenic - global warming potential (GWP500),climate change
"IPCC 2021 - climate change: biogenic, including SLCFs - global temperature change potential (GTP100)",climate change
"IPCC 2021 - climate change: biogenic, including SLCFs - global warming potential (GWP100)",climate change
"IPCC 2021 - climate change: biogenic, including SLCFs - global warming potential (GWP20)",climate change
IPCC 2021 - climate change: fossil - global temperature change potential (GTP100),climate change
IPCC 2021 - climate change: fossil - global temperature change potential (GTP50),climate change
IPCC 2021 - climate change: fossil - global warming potential (GWP100),climate change
IPCC 2021 - climate change: fossil - global warming potential (GWP20),climate change
IPCC 2021 - climate change: fossil - global warming potential (GWP500),climate change
"IPCC 2021 - climate change: fossil, including SLCFs - global temperature change potential (GTP100)",climate change
"IPCC 2021 - climate change: fossil, including SLCFs - global warming potential (GWP100)",climate change
"IPCC 2021 - climate change: fossil, including SLCFs - global warming potential (GWP20)",climate change
IPCC 2021 - climate change: including SLCFs - global temperature change potential (GTP100),climate change
IPCC 2021 - climate change: including SLCFs - global warming potential (GWP100),climate change
IPCC 2021 - climate change: including SLCFs - global warming potential (GWP20),climate change
IPCC 2021 - climate change: land use - global temperature change potential (GTP100),
IPCC 2021 - climate change: land use - global temperature change potential (GTP50),
IPCC 2021 - climate change: land use - global warming potential (GWP100),
IPCC 2021 - climate change: land use - global warming potential (GWP20),
IPCC 2021 - climate change: land use - global warming potential (GWP500),
"IPCC 2021 - climate change: land use, including SLCFs - global temperature change potential (GTP100)",
"IPCC 2021 - climate change: land use, including SLCFs - global warming potential (GWP100)",
"IPCC 2021 - climate change: land use, including SLCFs - global warming potential (GWP20)",
"ReCiPe 2016 v1.03, endpoint (E) no LT - ecosystem quality no LT - acidification: terrestrial no LT",acidification
"ReCiPe 2016 v1.03, endpoint (E) no LT - ecosystem quality no LT - climate change: freshwater ecosystems no LT",climate change
"ReCiPe 2016 v1.03, endpoint (E) no LT - ecosystem quality no LT - climate change: terrestrial ecosystems no LT",climate change
"ReCiPe 2016 v1.03, endpoint (E) no LT - ecosystem quality no LT - ecotoxicity: freshwater no LT",ecotoxicity
"ReCiPe 2016 v1.03, endpoint (E) no LT - ecosystem quality no LT - ecotoxicity: marine no LT",ecotoxicity
"ReCiPe 2016 v1.03, endpoint (E) no LT - ecosystem quality no LT - ecotoxicity: terrestrial no LT",ecotoxicity
"ReCiPe 2016 v1.03, endpoint (E) no LT - ecosystem quality no LT - eutrophication: freshwater no LT",eutrophication
"ReCiPe 2016 v1.03, endpoint (E) no LT - ecosystem quality no LT - eutrophication: marine no LT",eutrophication
"ReCiPe 2016 v1.03, endpoint (E) no LT - ecosystem quality no LT - land use no LT",land use
"ReCiPe 2016 v1.03, endpoint (E) no LT - ecosystem quality no LT - photochemical oxidant formation: terrestrial ecosystems no LT",photochemical oxidant formation
"ReCiPe 2016 v1.03, endpoint (E) no LT - ecosystem quality no LT - water use: aquatic ecosystems no LT",water use
"ReCiPe 2016 v1.03, endpoint (E) no LT - ecosystem quality no LT - water use: terrestrial ecosystems no LT",water use
"ReCiPe 2016 v1.03, endpoint (E) no LT - human health no LT - climate change: human health no LT",climate change
"ReCiPe 2016 v1.03, endpoint (E) no LT - human health no LT - human toxicity: carcinogenic no LT",human toxicity
"ReCiPe 2016 v1.03, endpoint (E) no LT - human health no LT - human toxicity: non-carcinogenic no LT",human toxicity
"ReCiPe 2016 v1.03, endpoint (E) no LT - human health no LT - ionising radiation no LT",ionizing radiation
"ReCiPe 2016 v1.03, endpoint (E) no LT - human health no LT - ozone depletion no LT",ozone depletion
"ReCiPe 2016 v1.03, endpoint (E) no LT - human health no LT - particulate matter formation no LT",particulate matter formation
"ReCiPe 2016 v1.03, endpoint (E) no LT - human health no LT - photochemical oxidant formation: human health no LT",photochemical oxidant formation
"ReCiPe 2016 v1.03, endpoint (E) no LT - human health no LT - water use: human health no LT",water use
"ReCiPe 2016 v1.03, endpoint (E) no LT - natural resources no LT - energy resources: non-renewable, fossil no LT",fossil resources
"ReCiPe 2016 v1.03, endpoint (E) no LT - natural resources no LT - material resources: metals/minerals no LT",metal/mineral resources
"ReCiPe 2016 v1.03, endpoint (E) no LT - total: ecosystem quality no LT - ecosystem quality no LT","ReCiPe 2016 v1.03, endpoint (E) no LT - total: ecosystem quality no LT - ecosystem quality no LT"
"ReCiPe 2016 v1.03, endpoint (E) no LT - total: human health no LT - human health no LT","ReCiPe 2016 v1.03, endpoint (E) no LT - total: human health no LT - human health no LT"
"ReCiPe 2016 v1.03, endpoint (E) no LT - total: natural resources no LT - natural resources no LT","ReCiPe 2016 v1.03, endpoint (E) no LT - total: natural resources no LT - natural resources no LT"
"ReCiPe 2016 v1.03, endpoint (E) - ecosystem quality - acidification: terrestrial",acidification
"ReCiPe 2016 v1.03, endpoint (E) - ecosystem quality - climate change: freshwater ecosystems",climate change
"ReCiPe 2016 v1.03, endpoint (E) - ecosystem quality - climate change: terrestrial ecosystems",climate change
"ReCiPe 2016 v1.03, endpoint (E) - ecosystem quality - ecotoxicity: freshwater",ecotoxicity
"ReCiPe 2016 v1.03, endpoint (E) - ecosystem quality - ecotoxicity: marine",ecotoxicity
"ReCiPe 2016 v1.03, endpoint (E) - ecosystem quality - ecotoxicity: terrestrial",ecotoxicity
"ReCiPe 2016 v1.03, endpoint (E) - ecosystem quality - eutrophication: freshwater",eutrophication
"ReCiPe 2016 v1.03, endpoint (E) - ecosystem quality - eutrophication: marine",eutrophication
"ReCiPe 2016 v1.03, endpoint (E) - ecosystem quality - land use",land use
"ReCiPe 2016 v1.03, endpoint (E) - ecosystem quality - photochemical oxidant formation: terrestrial ecosystems",photochemical oxidant formation
"ReCiPe 2016 v1.03, endpoint (E) - ecosystem quality - water use: aquatic ecosystems",water use
"ReCiPe 2016 v1.03, endpoint (E) - ecosystem quality - water use: terrestrial ecosystems",water use
"ReCiPe 2016 v1.03, endpoint (E) - human health - climate change: human health",climate change
"ReCiPe 2016 v1.03, endpoint (E) - human health - human toxicity: carcinogenic",human toxicity
"ReCiPe 2016 v1.03, endpoint (E) - human health - human toxicity: non-carcinogenic",human toxicity
"ReCiPe 2016 v1.03, endpoint (E) - human health - ionising radiation",ionizing radiation
"ReCiPe 2016 v1.03, endpoint (E) - human health - ozone depletion",ozone depletion
"ReCiPe 2016 v1.03, endpoint (E) - human health - particulate matter formation",particulate matter formation
"ReCiPe 2016 v1.03, endpoint (E) - human health - photochemical oxidant formation: human health",photochemical oxidant formation
"ReCiPe 2016 v1.03, endpoint (E) - human health - water use: human health",water use
"ReCiPe 2016 v1.03, endpoint (E) - natural resources - energy resources: non-renewable, fossil",fossil resources
"ReCiPe 2016 v1.03, endpoint (E) - natural resources - material resources: metals/minerals",metal/mineral resources
"ReCiPe 2016 v1.03, endpoint (E) - total: ecosystem quality - ecosystem quality","ReCiPe 2016 v1.03, endpoint (E) - total: ecosystem quality - ecosystem quality"
"ReCiPe 2016 v1.03, endpoint (E) - total: human health - human health","ReCiPe 2016 v1.03, endpoint (E) - total: human health - human health"
"ReCiPe 2016 v1.03, endpoint (E) - total: natural resources - natural resources","ReCiPe 2016 v1.03, endpoint (E) - total: natural resources - natural resources"
"ReCiPe 2016 v1.03, endpoint (H) no LT - ecosystem quality no LT - acidification: terrestrial no LT",acidification
"ReCiPe 2016 v1.03, endpoint (H) no LT - ecosystem quality no LT - climate change: freshwater ecosystems no LT",climate change
"ReCiPe 2016 v1.03, endpoint (H) no LT - ecosystem quality no LT - climate change: terrestrial ecosystems no LT",climate change
"ReCiPe 2016 v1.03, endpoint (H) no LT - ecosystem quality no LT - ecotoxicity: freshwater no LT",ecotoxicity
"ReCiPe 2016 v1.03, endpoint (H) no LT - ecosystem quality no LT - ecotoxicity: marine no LT",ecotoxicity
"ReCiPe 2016 v1.03, endpoint (H) no LT - ecosystem quality no LT - ecotoxicity: terrestrial no LT",ecotoxicity
"ReCiPe 2016 v1.03, endpoint (H) no LT - ecosystem quality no LT - eutrophication: freshwater no LT",eutrophication
"ReCiPe 2016 v1.03, endpoint (H) no LT - ecosystem quality no LT - eutrophication: marine no LT",eutrophication
"ReCiPe 2016 v1.03, endpoint (H) no LT - ecosystem quality no LT - land use no LT",land use
"ReCiPe 2016 v1.03, endpoint (H) no LT - ecosystem quality no LT - photochemical oxidant formation: terrestrial ecosystems no LT",photochemical oxidant formation
"ReCiPe 2016 v1.03, endpoint (H) no LT - ecosystem quality no LT - water use: aquatic ecosystems no LT",water use
"ReCiPe 2016 v1.03, endpoint (H) no LT - ecosystem quality no LT - water use: terrestrial ecosystems no LT",water use
"ReCiPe 2016 v1.03, endpoint (H) no LT - human health no LT - climate change: human health no LT",climate change
"ReCiPe 2016 v1.03, endpoint (H) no LT - human health no LT - human toxicity: carcinogenic no LT",human toxicity
"ReCiPe 2016 v1.03, endpoint (H) no LT - human health no LT - human toxicity: non-carcinogenic no LT",human toxicity
"ReCiPe 2016 v1.03, endpoint (H) no LT - human health no LT - ionising radiation no LT",ionizing radiation
"ReCiPe 2016 v1.03, endpoint (H) no LT - human health no LT - ozone depletion no LT",ozone depletion
"ReCiPe 2016 v1.03, endpoint (H) no LT - human health no LT - particulate matter formation no LT",particulate matter formation
"ReCiPe 2016 v1.03, endpoint (H) no LT - human health no LT - photochemical oxidant formation: human health no LT",photochemical oxidant formation
"ReCiPe 2016 v1.03, endpoint (H) no LT - human health no LT - water use: human health no LT",water use
"ReCiPe 2016 v1.03, endpoint (H) no LT - natural resources no LT - energy resources: non-renewable, fossil no LT",fossil resources
"ReCiPe 2016 v1.03, endpoint (H) no LT - natural resources no LT - material resources: metals/minerals no LT",metal/mineral resources
"ReCiPe 2016 v1.03, endpoint (H) no LT - total: ecosystem quality no LT - ecosystem quality no LT","ReCiPe 2016 v1.03, endpoint (H) no LT - total: ecosystem quality no LT - ecosystem quality no LT"
"ReCiPe 2016 v1.03, endpoint (H) no LT - total: human health no LT - human health no LT","ReCiPe 2016 v1.03, endpoint (H) no LT - total: human health no LT - human health no LT"
"ReCiPe 2016 v1.03, endpoint (H) no LT - total: natural resources no LT - natural resources no LT","ReCiPe 2016 v1.03, endpoint (H) no LT - total: natural resources no LT - natural resources no LT"
"ReCiPe 2016 v1.03, endpoint (H) - ecosystem quality - acidification: terrestrial",acidification
"ReCiPe 2016 v1.03, endpoint (H) - ecosystem quality - climate change: freshwater ecosystems",climate change
"ReCiPe 2016 v1.03, endpoint (H) - ecosystem quality - climate change: terrestrial ecosystems",climate change
"ReCiPe 2016 v1.03, endpoint (H) - ecosystem quality - ecotoxicity: freshwater",ecotoxicity
"ReCiPe 2016 v1.03, endpoint (H) - ecosystem quality - ecotoxicity: marine",ecotoxicity
"ReCiPe 2016 v1.03, endpoint (H) - ecosystem quality - ecotoxicity: terrestrial",ecotoxicity
"ReCiPe 2016 v1.03, endpoint (H) - ecosystem quality - eutrophication: freshwater",eutrophication
"ReCiPe 2016 v1.03, endpoint (H) - ecosystem quality - eutrophication: marine",eutrophication
"ReCiPe 2016 v1.03, endpoint (H) - ecosystem quality - land use",land use
"ReCiPe 2016 v1.03, endpoint (H) - ecosystem quality - photochemical oxidant formation: terrestrial ecosystems",photochemical oxidant formation
"ReCiPe 2016 v1.03, endpoint (H) - ecosystem quality - water use: aquatic ecosystems",water use
"ReCiPe 2016 v1.03, endpoint (H) - ecosystem quality - water use: terrestrial ecosystems",water use
"ReCiPe 2016 v1.03, endpoint (H) - human health - climate change: human health",climate change
"ReCiPe 2016 v1.03, endpoint (H) - human health - human toxicity: carcinogenic",human toxicity
"ReCiPe 2016 v1.03, endpoint (H) - human health - human toxicity: non-carcinogenic",human toxicity
"ReCiPe 2016 v1.03, endpoint (H) - human health - ionising radiation",ionizing radiation
"ReCiPe 2016 v1.03, endpoint (H) - human health - ozone depletion",ozone depletion
"ReCiPe 2016 v1.03, endpoint (H) - human health - particulate matter formation",particulate matter formation
"ReCiPe 2016 v1.03, endpoint (H) - human health - photochemical oxidant formation: human health",photochemical oxidant formation
"ReCiPe 2016 v1.03, endpoint (H) - human health - water use: human health",water use
"ReCiPe 2016 v1.03, endpoint (H) - natural resources - energy resources: non-renewable, fossil",fossil resources
"ReCiPe 2016 v1.03, endpoint (H) - natural resources - material resources: metals/minerals",metal/mineral resources
"ReCiPe 2016 v1.03, endpoint (H) - total: ecosystem quality - ecosystem quality","ReCiPe 2016 v1.03, endpoint (H) - total: ecosystem quality - ecosystem quality"
"ReCiPe 2016 v1.03, endpoint (H) - total: human health - human health","ReCiPe 2016 v1.03, endpoint (H) - total: human health - human health"
"ReCiPe 2016 v1.03, endpoint (H) - total: natural resources - natural resources","ReCiPe 2016 v1.03, endpoint (H) - total: natural resources - natural resources"
"ReCiPe 2016 v1.03, endpoint (I) no LT - ecosystem quality no LT - acidification: terrestrial no LT",acidification
"ReCiPe 2016 v1.03, endpoint (I) no LT - ecosystem quality no LT - climate change: freshwater ecosystems no LT",climate change
"ReCiPe 2016 v1.03, endpoint (I) no LT - ecosystem quality no LT - climate change: terrestrial ecosystems no LT",climate change
"ReCiPe 2016 v1.03, endpoint (I) no LT - ecosystem quality no LT - ecotoxicity: freshwater no LT",ecotoxicity
"ReCiPe 2016 v1.03, endpoint (I) no LT - ecosystem quality no LT - ecotoxicity: marine no LT",ecotoxicity
"ReCiPe 2016 v1.03, endpoint (I) no LT - ecosystem quality no LT - ecotoxicity: terrestrial no LT",ecotoxicity
"ReCiPe 2016 v1.03, endpoint (I) no LT - ecosystem quality no LT - eutrophication: freshwater no LT",eutrophication
"ReCiPe 2016 v1.03, endpoint (I) no LT - ecosystem quality no LT - eutrophication: marine no LT",eutrophication
"ReCiPe 2016 v1.03, endpoint (I) no LT - ecosystem quality no LT - land use no LT",land use
"ReCiPe 2016 v1.03, endpoint (I) no LT - ecosystem quality no LT - photochemical oxidant formation: terrestrial ecosystems no LT",photochemical oxidant formation
"ReCiPe 2016 v1.03, endpoint (I) no LT - ecosystem quality no LT - water use: aquatic ecosystems no LT",water use
"ReCiPe 2016 v1.03, endpoint (I) no LT - human health no LT - climate change: human health no LT",climate change
"ReCiPe 2016 v1.03, endpoint (I) no LT - human health no LT - human toxicity: carcinogenic no LT",human toxicity
"ReCiPe 2016 v1.03, endpoint (I) no LT - human health no LT - human toxicity: non-carcinogenic no LT",human toxicity
"ReCiPe 2016 v1.03, endpoint (I) no LT - human health no LT - ionising radiation no LT",ionizing radiation
"ReCiPe 2016 v1.03, endpoint (I) no LT - human health no LT - ozone depletion no LT",ozone depletion
"ReCiPe 2016 v1.03, endpoint (I) no LT - human health no LT - particulate matter formation no LT",particulate matter formation
"ReCiPe 2016 v1.03, endpoint (I) no LT - human health no LT - photochemical oxidant formation: human health no LT",photochemical oxidant formation
"ReCiPe 2016 v1.03, endpoint (I) no LT - human health no LT - water use: human health no LT",water use
"ReCiPe 2016 v1.03, endpoint (I) no LT - natural resources no LT - energy resources: non-renewable, fossil no LT",fossil resources
"ReCiPe 2016 v1.03, endpoint (I) no LT - natural resources no LT - material resources: metals/minerals no LT",metal/mineral resources
"ReCiPe 2016 v1.03, endpoint (I) no LT - total: ecosystem quality no LT - ecosystem quality no LT","ReCiPe 2016 v1.03, endpoint (I) no LT - total: ecosystem quality no LT - ecosystem quality no LT"
"ReCiPe 2016 v1.03, endpoint (I) no LT - total: human health no LT - human health no LT","ReCiPe 2016 v1.03, endpoint (I) no LT - total: human health no LT - human health no LT"
"ReCiPe 2016 v1.03, endpoint (I) no LT - total: natural resources no LT - natural resources no LT","ReCiPe 2016 v1.03, endpoint (I) no LT - total: natural resources no LT - natural resources no LT"
"ReCiPe 2016 v1.03, endpoint (I) - ecosystem quality - acidification: terrestrial",acidification
"ReCiPe 2016 v1.03, endpoint (I) - ecosystem quality - climate change: freshwater ecosystems",climate change
"ReCiPe 2016 v1.03, endpoint (I) - ecosystem quality - climate change: terrestrial ecosystems",climate change
"ReCiPe 2016 v1.03, endpoint (I) - ecosystem quality - ecotoxicity: freshwater",ecotoxicity
"ReCiPe 2016 v1.03, endpoint (I) - ecosystem quality - ecotoxicity: marine",ecotoxicity
"ReCiPe 2016 v1.03, endpoint (I) - ecosystem quality - ecotoxicity: terrestrial",ecotoxicity
"ReCiPe 2016 v1.03, endpoint (I) - ecosystem quality - eutrophication: freshwater",eutrophication
"ReCiPe 2016 v1.03, endpoint (I) - ecosystem quality - eutrophication: marine",eutrophication
"ReCiPe 2016 v1.03, endpoint (I) - ecosystem quality - land use",land use
"ReCiPe 2016 v1.03, endpoint (I) - ecosystem quality - photochemical oxidant formation: terrestrial ecosystems",photochemical oxidant formation
"ReCiPe 2016 v1.03, endpoint (I) - ecosystem quality - water use: aquatic ecosystems",water use
"ReCiPe 2016 v1.03, endpoint (I) - human health - climate change: human health",climate change
"ReCiPe 2016 v1.03, endpoint (I) - human health - human toxicity: carcinogenic",human toxicity
"ReCiPe 2016 v1.03, endpoint (I) - human health - human toxicity: non-carcinogenic",human toxicity
"ReCiPe 2016 v1.03, endpoint (I) - human health - ionising radiation",ionizing radiation
"ReCiPe 2016 v1.03, endpoint (I) - human health - ozone depletion",ozone depletion
"ReCiPe 2016 v1.03, endpoint (I) - human health - particulate matter formation",particulate matter formation
"ReCiPe 2016 v1.03, endpoint (I) - human health - photochemical oxidant formation: human health",photochemical oxidant formation
"ReCiPe 2016 v1.03, endpoint (I) - human health - water use: human health",water use
"ReCiPe 2016 v1.03, endpoint (I) - natural resources - energy resources: non-renewable, fossil",fossil resources
"ReCiPe 2016 v1.03, endpoint (I) - natural resources - material resources: metals/minerals",metal/mineral resources
"ReCiPe 2016 v1.03, endpoint (I) - total: ecosystem quality - ecosystem quality","ReCiPe 2016 v1.03, endpoint (I) - total: ecosystem quality - ecosystem quality"
"ReCiPe 2016 v1.03, endpoint (I) - total: human health - human health","ReCiPe 2016 v1.03, endpoint (I) - total: human health - human health"
"ReCiPe 2016 v1.03, endpoint (I) - total: natural resources - natural resources","ReCiPe 2016 v1.03, endpoint (I) - total: natural resources - natural resources"
"ReCiPe 2016 v1.03, midpoint (E) no LT - acidification: terrestrial no LT - terrestrial acidification potential (TAP) no LT",acidification
"ReCiPe 2016 v1.03, midpoint (E) no LT - climate change no LT - global warming potential (GWP1000) no LT",climate change
"ReCiPe 2016 v1.03, midpoint (E) no LT - ecotoxicity: freshwater no LT - freshwater ecotoxicity potential (FETP) no LT",ecotoxicity
